Nombre Estacion,Latitude,Longitude,Alcaldia
LA MORENA - PROVIDENCIA E279,19.39991179,-99.16655026,BENITO JUAREZ
ANAXAGORAS - OBRERO MUNDIAL E280,19.40149808,-99.15640683,BENITO JUAREZ
PITAGORAS - LA MORENA E281,19.39853232,-99.157308,BENITO JUAREZ
LA MORENA - EJE 2 PONIENTE GABRIEL MANCERA E282,19.39869649,-99.16127271,BENITO JUAREZ
AV. COYOACAN - RAFAEL DONDE E283,19.39826924,-99.16738262,BENITO JUAREZ
DAKOTA - VERMONT E284,19.39769211,-99.17298357,BENITO JUAREZ
11 DE ABRIL - AVENIDA 2 E288,19.39633689,-99.18357183,BENITO JUAREZ
CHICAGO - YOSEMITE E289,19.3973068,-99.174551,BENITO JUAREZ
YOSEMITE - COLORADO E290,19.39637153,-99.17269501,BENITO JUAREZ
MAGDALENA - DIVISION DEL NORTE E291,19.39765271,-99.16994682,BENITO JUAREZ
ADOLFO PRIETO - EJE 4 SUR XOLA E292,19.39692369,-99.16626151,BENITO JUAREZ
MIER Y PESADO - EJE 4 SUR XOLA E293,19.39738148,-99.16459719,BENITO JUAREZ
NICOLAS SAN JUAN - EJE 4 SUR XOLA E294,19.39651937,-99.160924,BENITO JUAREZ
ANAXAGORAS - EJE 4 SUR XOLA E295,19.39632779,-99.15686783,BENITO JUAREZ
DIAGONAL SAN ANTONIO - ENRIQUE REBSAMEN E296,19.39427128,-99.15865963,BENITO JUAREZ
DIAGONAL SAN ANTONIO - ENRIQUE REBSAMEN E297,19.39441361,-99.15890608,BENITO JUAREZ
ROMERO DE TERREROS - GABRIEL MANCERA E298,19.39407076,-99.16214059,BENITO JUAREZ
ROMERO DE TERREROS - MIER Y PESADO E299,19.39460524,-99.16505625,BENITO JUAREZ
PROVIDENCIA - LUZ SAVIÑON E300,19.39327008,-99.16833317,BENITO JUAREZ
LUZ SAVIÑON - MAGDALENA E301,19.39380774,-99.17113402,BENITO JUAREZ
LUZ SAVIÑON - MAGDALENA E302,19.39383843,-99.17146604,BENITO JUAREZ
MONTESITO - AV. INSURGENTES E303,19.39483921,-99.17302643,BENITO JUAREZ
MONTESITO - DAKOTA E304,19.39505797,-99.17384852,BENITO JUAREZ
AVENIDA DEL PARQUE - ARIZONA E305,19.39469807,-99.17553053,BENITO JUAREZ
DAKOTA - FILADELFIA E306,19.39369902,-99.17566585,BENITO JUAREZ
MINESOTA - DAKOTA E307,19.39370449,-99.17583132,BENITO JUAREZ
NUEVA YORK - ARIZONA E308,19.39359541,-99.17807515,BENITO JUAREZ
PENNSYLVANIA - ARIZONA E309,19.39315646,-99.1795581,BENITO JUAREZ
CALLE 1 - AV. PATRIOTISMO E310,19.39532722,-99.18175293,BENITO JUAREZ
CALLE 5 - AVENIDA REVOLUCION E311,19.39366446,-99.18539286,BENITO JUAREZ
AVENIDA 2 - CALLE 7 E312,19.39263247,-99.18373925,BENITO JUAREZ
PENNSYLVANIA - OKLAHOMA E313,19.39142767,-99.17899124,BENITO JUAREZ
NUEVA YORK - LOUISIANA E314,19.39165209,-99.17732872,BENITO JUAREZ
ALABAMA - MONTANA E315,19.39147786,-99.17359886,BENITO JUAREZ
SAN FRANCISCO - CONCEPCION BEISTEGUI E316,19.39105402,-99.17119806,BENITO JUAREZ
AVENIDA COYOACAN - TORRES ADALID E317,19.39145786,-99.16615936,BENITO JUAREZ
LUZ SAVIÑON - AMORES E318,19.39224815,-99.16412803,BENITO JUAREZ
DIAGONAL SAN ANTONIO - LUZ SAVIÑON E319,19.39199429,-99.16268334,BENITO JUAREZ
ENRIQUE REBSAMEN - LUZ SAVIÑON E320,19.39132753,-99.15935698,BENITO JUAREZ
TORRES ADALID - ANAXAGORAS E321,19.38947853,-99.15751002,BENITO JUAREZ
HERIBERTO FRIAS - CONCEPCION BEISTEGUI E322,19.38853483,-99.16061785,BENITO JUAREZ
CONCEPCION BEISTEGUI - GABRIEL MANCERA E323,19.38902434,-99.16340288,BENITO JUAREZ
AMORES - AVENIDA EUGENIA E324,19.38725205,-99.16565618,BENITO JUAREZ
PROVIDENCIA - AVENIDA DEL VALLE E325,19.38818049,-99.16969088,BENITO JUAREZ
EUGENIA - NEBRASKA E326,19.38897991,-99.17481319,BENITO JUAREZ
GEORGIA - PENNSYLVANIA E327,19.38884812,-99.17771946,BENITO JUAREZ
AVENIDA 1 - CALLE 7 E328,19.39259293,-99.1847408,BENITO JUAREZ
CALLE 13 - AVENIDA 1 E329,19.39030726,-99.18480942,BENITO JUAREZ
CALLE 15 - AVENIDA PATRIOTISMO E330,19.38936566,-99.18260869,BENITO JUAREZ
AVENIDA 2 - CALLE 17 E331,19.38856707,-99.18395263,BENITO JUAREZ
SUR DE CALLE 27 - AVENIDA 3 E332,19.38550845,-99.18380848,BENITO JUAREZ
GEORGIA - CAROLINA E333,19.3876246,-99.18097576,BENITO JUAREZ
NUEVA YORK - AV. INSURGENTES E334,19.3865722,-99.17509232,BENITO JUAREZ
MAGDALENA - AMEYALCO E335,19.38700822,-99.17350347,BENITO JUAREZ
SAN BORJA - CDA. BARTOLOCHE E336,19.3855283,-99.16967413,BENITO JUAREZ
SAN BORJA - MARTIN MENLALDE E337,19.38484923,-99.16704057,BENITO JUAREZ
NICOLAS SAN JUAN - SAN BORJA E338,19.3842538,-99.16327298,BENITO JUAREZ
ENRIQUE REBSAMEN - AVENIDA EUGENIA E339,19.38603693,-99.16054332,BENITO JUAREZ
ANAXAGORAS - AVENIDA EUGENIA E340,19.3855701,-99.15818835,BENITO JUAREZ
SAN BORJA - AVENIDA CUAUHTEMOC E341,19.38285225,-99.15820518,BENITO JUAREZ
ANAXAGORAS - ANGEL URRAZA EJE 6 SUR E342,19.38107681,-99.15945596,BENITO JUAREZ
ENRIQUE REBSAMEN - DIVISION DEL NORTE E343,19.38410195,-99.16082678,BENITO JUAREZ
HERIBERTO FRIAS - ANGEL URRAZA EJE 6 SUR E344,19.38210862,-99.16224353,BENITO JUAREZ
MIRAFLORES - PATRICIO SANZ E345,19.3844957,-99.17222191,BENITO JUAREZ
SAN FRANCISCO - SANTA MARGARITA E346,19.38502417,-99.17407871,BENITO JUAREZ
PENNSYLVANIA - MAXIMINO AVILA CAMACHO E347,19.3843852,-99.17609512,BENITO JUAREZ
INDIANA - AVENIDA SAN ANTONIO E348,19.38536663,-99.17822031,BENITO JUAREZ
AUGUSTO RODIN - AVENIDA SAN ANTONIO E349,19.38569274,-99.18085802,BENITO JUAREZ
JOSE CLEMENTE OROZCO - CORREGGIO E350,19.38406213,-99.1814827,BENITO JUAREZ
CALLE 27 - AVENIDA REVOLUCION E351,19.38575111,-99.18629738,BENITO JUAREZ
TINTORETO - GIORGINE E352,19.3841128,-99.18544322,BENITO JUAREZ
CAROLINA - HOLBEIN E353,19.38216982,-99.17880904,BENITO JUAREZ
BOSTON - AV. INSURGENTES E354,19.3816643,-99.17668326,BENITO JUAREZ
CALIFORNIA - SACRAMENTO E355,19.38204893,-99.17328992,BENITO JUAREZ
